case,timestamp,source,info
11,04-04-24 11:42:33.33,s2,HeatingCompleted
11,04-04-24 11:42:33.33,s1,PouringCompleted
11,04-04-24 11:42:33.33,lgpB,StartTransfer
11,04-04-24 11:42:33.33,s4,FillingCompleted
11,04-04-24 11:42:33.33,lgpA,TransferCompleted
11,04-04-24 11:42:33.33,s1,StartFilling
11,04-04-24 11:42:33.33,s4,StartHeating
11,04-04-24 11:42:35.35,s4,HeatingCompleted
11,04-04-24 11:42:35.35,s4,StartMixing
11,04-04-24 11:42:38.38,s2,PouringCompleted
11,04-04-24 11:42:38.38,s1,FillingCompleted
11,04-04-24 11:42:38.38,s3,FillingCompleted
11,04-04-24 11:42:38.38,lgpB,TransferCompleted
11,04-04-24 11:42:38.38,s2,StartFilling
11,04-04-24 11:42:39.39,s3,StartMixing
11,04-04-24 11:42:39.39,s4,MixingCompleted
11,04-04-24 11:42:39.39,s4,PouringStarted
11,04-04-24 11:42:42.42,s2,FillingCompleted
11,04-04-24 11:42:42.42,s2,StartHeating
11,04-04-24 11:42:44.44,s3,MixingCompleted
11,04-04-24 11:42:44.44,s3,PouringStarted
11,04-04-24 11:42:44.44,s4,PouringCompleted
11,04-04-24 11:42:44.44,lgpA,StartTransfer
11,04-04-24 11:42:47.47,s2,HeatingCompleted
11,04-04-24 11:42:48.48,s3,PouringCompleted
11,04-04-24 11:42:48.48,s1,PouringCompleted
11,04-04-24 11:42:48.48,lgpB,StartTransfer
11,04-04-24 11:42:48.48,s4,FillingCompleted
11,04-04-24 11:42:48.48,lgpA,TransferCompleted
11,04-04-24 11:42:48.48,s4,StartHeating
11,04-04-24 11:42:50.50,s4,HeatingCompleted
11,04-04-24 11:42:50.50,s4,StartMixing
11,04-04-24 11:42:53.53,s2,PouringCompleted
11,04-04-24 11:42:53.53,s3,FillingCompleted
11,04-04-24 11:42:53.53,lgpB,TransferCompleted
